State,Specialty,Count,state_total,specialty_total,expected,location_quotient
MD,Physical Therapist in Private Practice,2,26786,23.0,0.4463582933883579,4.480705365229727
AR,Advanced Heart Failure and Transplant Cardiology,3,11827,784.0,6.7179778472025,0.4465629491840703
VI,General Surgery,7,187,22083.0,2.991903535057874,2.339647624990889
WV,Micrographic Dermatologic Surgery,2,8487,357.0,2.1951809550858115,0.9110866215226519
PA,Certified Clinical Nurse Specialist,15,64171,2049.0,95.26396939065316,0.1574572222420088
MD,Hematopoietic Cell Transplantation and Cellular Therapy,2,26786,147.0,2.852811701221244,0.7010627442196171
NH,Certified Registered Nurse Anesthetist (CRNA),5,7126,251.0,1.2958879376800423,3.8583583152654604
FL,,1,93928,,,
UT,Clinic or Group Practice,1,11191,42.0,0.3405384022396235,2.936526375361153
FL,Chiropractic,4,93928,46.0,3.130407062001171,1.277789092848176
WV,Thoracic Surgery (Cardiothoracic Vascular Surgery),2,8487,292.0,1.7954981481374146,1.1138969996013242
WV,Family Medicine,7,8487,1018.0,6.259647653437972,1.1182738051007401
VA,Peripheral Vascular Disease,1,32413,55.0,1.2916053243222878,0.7742303172408377
CA,Clinical Medical Laboratory,2,139057,5.0,0.5037450225759148,3.970262554204391
NH,Thoracic Surgery,5,7126,1613.0,8.32775794214306,0.6004016969197957
DE,Hematology,4,4341,854.0,2.6859354079604008,1.4892390889762501
PA,Pharmacy,1,64171,128.0,5.951092280138411,0.1680363793613938
WY,Neurosurgery,5,2187,3843.0,6.089295857508013,0.8211130017332091
MN,Peripheral Vascular Disease,1,25375,55.0,1.0111524729175965,0.9889705329153605
PR,Hematology,3,11379,854.0,7.0406033188623365,0.42609984743250073
DE,Geriatric Medicine,5,4341,1901.0,5.978879637626139,0.836277079159467
LA,Osteopathic Manipulative Medicine,6,20543,680.0,10.120936190437549,0.5928305333718943
DE,Surgical Oncology,2,4341,982.0,3.0885112068116083,0.6475611924570864
MT,Acupuncturist,1,4847,57.0,0.20016852239333677,4.99579048715248
MA,Independent Diagnostic Testing Facility (IDTF),1,39945,1.0,0.02894078676628277,34.55331080235324
MA,Cardiac Surgery,9,39945,673.0,19.477149493708303,0.4620799364356302
NC,Pharmacy,4,44019,128.0,4.082235450272128,0.9798552897612396
IA,Gynecological Oncology,7,13211,1038.0,9.935299283019086,0.7045585442971052
CO,Dental Hygienist,2,23912,142.0,2.4600965634762852,0.8129762179635188
CA,Exclusive Provider Organization,1,139057,3.0,0.30224701354554884,3.3085521285036594
CA,Behavior Analyst,2,139057,16.0,1.6119840722429273,1.2407070481888722
MD,Oral & Maxillofacial Surgery,9,26786,595.0,11.547094981133606,0.779416815632398
UT,Nuclear Medicine,1,11191,162.0,1.3135052657814048,0.7613216528714102
FL,Community Health Worker,1,93928,8.0,0.5444186194784645,1.836821820969253
ND,Sleep Medicine,2,3423,744.0,1.8451332819410071,1.0839325373265607
CA,Denturist,1,139057,7.0,0.7052430316062807,1.417950912215854
VA,Case Manager/Care Coordinator,1,32413,19.0,0.4461909302204267,2.2411930235918986
IA,Geriatric Medicine,3,13211,1901.0,18.195572193660198,0.1648752766920557
PA,Certified Registered Nurse Anesthetist (CRNA),3,64171,251.0,11.669720018083916,0.25707557639352674
WI,Geriatric Psychiatry,2,25408,171.0,3.1478534043552098,0.6353536023097206
NH,"Psychologist, Clinical",1,7126,232.0,1.197792834827768,0.8348689113203713
OH,Clinic or Group Practice,1,53444,42.0,1.6262831176208057,0.6148990843998703
MD,Other Clinic/Center,1,26786,14.0,0.2716963524972613,3.6805794071529907
MA,Licensed Professional Counselor,4,39945,98.0,2.8361971030957114,1.410339216422581
NC,Undefined Physician type,2,44019,178.0,5.676858673034678,0.35230751991415354
MO,Surgery,7,25377,465.0,8.549508343524856,0.8187605320370958
IN,"Neuromusculoskeletal Medicine, Sports Medicine",1,26170,49.0,0.9290684464640727,1.0763469621704242
KS,Advanced Heart Failure and Transplant Cardiology,5,11495,784.0,6.529395058222096,0.7657677250978687
FL,Midwife,4,93928,139.0,9.45927351343832,0.4228654551871662
VI,Gastroenterology,2,187,14589.0,1.976582922291325,1.011847252874941
WY,Vascular Surgery,4,2187,3467.0,5.49351775643515,0.7281308948741212
TN,Substance Abuse Rehabilitation Facility,1,29129,4.0,0.08441769209814003,11.845858079577054
