Specialty,total_cost,total_claims,cost_per_claim
Chore Provider,4099.55,242.0,16.94
Speech Language Pathologist,207.07,13.0,15.93
"Emergency Medical Technician, Paramedic",1771.1100000000001,116.0,15.27
Technician,333.12,22.0,15.14
Physical Therapy Assistant,164.15,11.0,14.92
"Emergency Medical Technician, Basic",708.3199999999999,57.0,12.43
Religious Nonmedical Nursing Personnel,562.03,54.0,10.41
Radiology,221.58,23.0,9.63
Anesthesiology Assistant,333.38,44.0,7.58
Durable Medical Equipment & Medical Supplies,3196.5,489.0,6.54
"Midwife, Lay",118.8,19.0,6.25
Lodging,80.52,13.0,6.19
Maxillofacial Surgery,2005876.1199999994,334822.0,5.99
Oral Surgery (Dentist only),10521712.570000006,1908455.0,5.51
Dentist,46421965.080000065,8942168.0,5.19
Oral & Maxillofacial Surgery,822918.5099999999,171667.0,4.79
Exclusive Provider Organization,713.98,156.0,4.58
Denturist,889.96,213.0,4.18
Advanced Practice Dental Therapist,727.1400000000001,175.0,4.16
Dental Assistant,1530.2,372.0,4.11
Dental Laboratory Technician,119.35,34.0,3.51
Dental Therapist,153.78,46.0,3.34
Home Health Aide,21.03,13.0,1.62
