State,Specialty,total_cost_PR,total_claims_PR,cost_per_claim_PR,total_cost_national,total_claims_national,cost_per_claim_national,cost_per_claim_diff
PR,Hospitalist,979025.0099999997,27947.0,35.03,594484472.7699984,6076646.0,97.83,-62.8
PR,Hospice and Palliative Care,17608.01,509.0,34.59,61454838.639999986,877941.0,70.0,-35.41
PR,Sleep Medicine,50795.53999999999,1656.0,30.67,96588254.67999998,282796.0,341.55,-310.88
PR,Colorectal Surgery (Proctology),198900.08999999997,6536.0,30.43,27508528.089999992,215372.0,127.73,-97.30000000000001
PR,Hospital,358.96,12.0,29.91,1469168.3000000003,7220.0,203.49,-173.58
PR,Personal Emergency Response Attendant,301213.7400000001,10279.0,29.3,307649.2200000001,10719.0,28.7,0.6000000000000014
PR,Surgical Oncology,104032.01999999996,3604.0,28.87,17032484.769999996,49815.0,341.91,-313.04
PR,"Medical Genetics, Ph.D. Medical Genetics",411625.23,14378.0,28.63,420788.57,14669.0,28.69,-0.060000000000002274
PR,"Psychologist, Clinical",207651.54000000004,8149.0,25.48,12512557.139999997,107785.0,116.09,-90.61
PR,Clinic/Center,633793.49,27079.0,23.41,3357404.1399999987,56756.0,59.16,-35.75
PR,Geriatric Psychiatry,158662.40999999997,6869.0,23.1,20049162.460000005,281130.0,71.32,-48.21999999999999
PR,Physical Medicine and Rehabilitation,1899794.36,82430.0,23.05,388443913.79000056,6333302.0,61.33,-38.28
PR,Podiatry,1214005.98,54251.0,22.38,235275621.22999978,3989535.0,58.97,-36.59
PR,"Residential Treatment Facility, Physical Disabilities",368.94,17.0,21.7,368.94,17.0,21.7,0.0
PR,Orthopaedic Surgery,18387.940000000002,849.0,21.66,4127053.369999999,102257.0,40.36,-18.7
PR,Interventional Pain Management,477233.04,22256.0,21.44,222057605.17000005,3761626.0,59.03,-37.59
PR,Orthopedic Surgery,1604864.3099999998,75933.0,21.14,117933723.48999983,6554688.0,17.99,3.150000000000002
PR,Diagnostic Radiology,127847.20000000001,6971.0,18.34,32346724.000000007,175320.0,184.5,-166.16
PR,Psychiatry,35978050.42,1967275.0,18.29,3577470032.5200114,30930508.0,115.66,-97.37
PR,Marriage and Family Therapist,20562.539999999997,1137.0,18.08,26062.94,1218.0,21.4,-3.3200000000000003
PR,Neuropsychiatry,1590620.8399999999,91629.0,17.36,100803884.76999995,766903.0,131.44,-114.08
